121.140.122.206 - - [04/Jan/2024:07:34:05 +0000] "GET /wp-admin/install.php HTTP/1.1" 200 4548 "http://docker.gguduck.com:8888/wp-admin/install.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
127.0.0.1 - - [04/Jan/2024:07:34:12 +0000] "OPTIONS * HTTP/1.0" 200 126 "-" "Apache/2.4.38 (Debian) PHP/7.4.21 (internal dummy connection)"
43.200.198.231 - - [04/Jan/2024:07:34:56 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
43.200.198.231 - - [04/Jan/2024:07:34:56 +0000] "\x16\x03\x01\x02" 400 0 "-" "-"
43.200.198.231 - - [04/Jan/2024:07:34:56 +0000] "GET /2024/01/04/%EC%A0%84-%EC%84%B8%EA%B3%84-%EC%97%AC%EB%9F%AC%EB%B6%84-%EC%95%88%EB%85%95%ED%95%98%EC%84%B8%EC%9A%94/ HTTP/1.1" 200 5913 "http://docker.gguduck.com:8888/2024/01/04/%EC%A0%84-%EC%84%B8%EA%B3%84-%EC%97%AC%EB%9F%AC%EB%B6%84-%EC%95%88%EB%85%95%ED%95%98%EC%84%B8%EC%9A%94/" "WordPress/5.7.2; http://docker.gguduck.com:8888"
121.140.122.206 - - [04/Jan/2024:07:34:54 +0000] "POST /wp-admin/install.php?step=2 HTTP/1.1" 200 2163 "http://docker.gguduck.com:8888/wp-admin/install.php?step=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:34:57 +0000] "GET /favicon.ico HTTP/1.1" 302 418 "http://docker.gguduck.com:8888/wp-admin/install.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:34:57 +0000] "GET /wp-includes/images/w-logo-blue-white-bg.png HTTP/1.1" 200 4405 "http://docker.gguduck.com:8888/wp-admin/install.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:01 +0000] "GET /wp-login.php HTTP/1.1" 200 3414 "http://docker.gguduck.com:8888/wp-admin/install.php?step=2" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:01 +0000] "GET /wp-admin/css/login.min.css?ver=5.7.2 HTTP/1.1" 200 2360 "http://docker.gguduck.com:8888/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:05 +0000] "POST /wp-login.php HTTP/1.1" 302 1307 "http://docker.gguduck.com:8888/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:06 +0000] "GET /wp-admin/ HTTP/1.1" 200 3198 "http://docker.gguduck.com:8888/wp-login.php" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
121.140.122.206 - - [04/Jan/2024:07:35:08 +0000] "GET /wp-includes/js/thickbox/thickbox.css?ver=5.7.2 HTTP/1.1" 200 1275 "http://docker.gguduck.com:8888/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36"
